mysql_import_key,product_name,primary_category,subcategory,price_inr,rating,description_clean,detailed_description_10_sentences,image_link,product_url,source_collection_url,ingested_at_utc
179988ce047efc983a294c3e81dbf991,INDUS 27 MARIGOLD (गेंदा ),seed,seeds_online,1399.0,4.3333,"Specifications: Flower Color : Lemon Yellow Flower Structure : Compact Ball Shaped Flower Diameter : 8-10 cms Plant Height : 60-70 cms Maturity : 55-60 days after transplantation Specialities : Suitable for long distance shipping, High yield, Good marketability","INDUS 27 MARIGOLD (गेंदा ) is listed under the seed category for this dataset. This record belongs to the seeds_online subcategory based on the source link. The listed selling price is Rs 1399,00. The current rating value is 4,33 out of 5. The row has been cleaned to remove HTML tags and encoded symbol noise from text fields. Short description from source is: Specifications, Flower Color , Lemon Yellow Flower Structure , Compact Ball Shaped Flower Diameter , 8-10 cms Plant Height , 60-70 cms Maturity , 55-60 days after transplantation Specialities , Suitable for long distance shipping, High yield, Good marketability. Product naming is standardized to keep search and deduplication stable in downstream systems. The image link column stores the primary product image URL for frontend rendering. The product link is present in product_url column for direct lookup. The source collection link is present in source_collection_url column for audit and synchronization tasks.",https://cdn.shopify.com/s/files/1/0722/2059/files/27-marigold-file-1792.webp?v=1737482371,https://www.bighaat.com/products/27-marigold,https://www.bighaat.com/collections/seeds-online,2026-03-27 09:54:36
41545b4d4f6574595a16acf7e632195f,BLOOMFIELD 3UPMINERALS FORTE,crop_nutrition,plant_nutrition,239.0,5.0,Bloomfield 3Upminerals Forte Buy Online In India. We Have Top Brands Of Agricultural Products Available At Bighaat. Cod And Door To Door Delivery Available.,"BLOOMFIELD 3UPMINERALS FORTE is listed under the crop_nutrition category for this dataset. This record belongs to the plant_nutrition subcategory based on the source link. The listed selling price is Rs 239,00. The current rating value is 5,00 out of 5. The row has been cleaned to remove HTML tags and encoded symbol noise from text fields. Short description from source is: Bloomfield 3Upminerals Forte Buy Online In India, We Have Top Brands Of Agricultural Products Available At Bighaat, Cod And Door To Door Delivery Available. Product naming is standardized to keep search and deduplication stable in downstream systems. The image link column stores the primary product image URL for frontend rendering. The product link is present in product_url column for direct lookup. The source collection link is present in source_collection_url column for audit and synchronization tasks.",https://cdn.shopify.com/s/files/1/0722/2059/files/3upminerals-forte-file-12111.jpg?v=1737445611,https://www.bighaat.com/products/3upminerals-forte,https://www.bighaat.com/collections/plant-nutrition,2026-03-27 09:54:36
d2a9af0570b534c966766b3b97cabfa6,NS 9905 F1 CARROT,seed,seeds_online,7000.0,5.0,"Specifications: NS 9905 F1 CARROT EARLY NANTES Early Nantes Carrot is an early variety with blunt end. Plant : early vigorous, high yielder with uniform long cylindrical roots. Roots are smooth, deep orange with a very small self colored core. Flesh is very sweet, crisp and endowed with good storage and transport qualities. Root : Cylindrical about 15-20 cm in length.","NS 9905 F1 CARROT is listed under the seed category for this dataset. This record belongs to the seeds_online subcategory based on the source link. The listed selling price is Rs 7000,00. The current rating value is 5,00 out of 5. The row has been cleaned to remove HTML tags and encoded symbol noise from text fields. Short description from source is: Specifications, NS 9905 F1 CARROT EARLY NANTES Early Nantes Carrot is an early variety with blunt end, Plant , early vigorous, high yielder with uniform long cylindrical roots, Roots are smooth, deep orange with a very small self colored core, Flesh is very sweet, crisp and endowed with good storage and transport qualities, Root , Cylindrical about 15-20 cm in length. Product naming is standardized to keep search and deduplication stable in downstream systems. The image link column stores the primary product image URL for frontend rendering. The product link is present in product_url column for direct lookup. The source collection link is present in source_collection_url column for audit and synchronization tasks.",https://cdn.shopify.com/s/files/1/0722/2059/files/9905-f1-carrot-file-2760.jpg?v=1737435958,https://www.bighaat.com/products/9905-f1-carrot,https://www.bighaat.com/collections/seeds-online,2026-03-27 09:54:36
1c9f06ff360f64865d5e94a1d6dac52a,Aahaar Organic NPK: Balanced Nutrition for Healthy Plant Growth,crop_nutrition,plant_nutrition,655.0,5.0,Vedagna Aahaar NPK Fertilizer Buy Online At Best Price In India. We Have Top Brands Of Bio Fertilizers Available At Bighaat. COD & To Door Delivery Available.,"Aahaar Organic NPK: Balanced Nutrition for Healthy Plant Growth is listed under the crop_nutrition category for this dataset. This record belongs to the plant_nutrition subcategory based on the source link. The listed selling price is Rs 655,00. The current rating value is 5,00 out of 5. The row has been cleaned to remove HTML tags and encoded symbol noise from text fields. Short description from source is: Vedagna Aahaar NPK Fertilizer Buy Online At Best Price In India, We Have Top Brands Of Bio Fertilizers Available At Bighaat, COD & To Door Delivery Available. Product naming is standardized to keep search and deduplication stable in downstream systems. The image link column stores the primary product image URL for frontend rendering. The product link is present in product_url column for direct lookup. The source collection link is present in source_collection_url column for audit and synchronization tasks.",https://cdn.shopify.com/s/files/1/0722/2059/files/aahaar-organic-npk-file-5771.jpg?v=1737433685,https://www.bighaat.com/products/aahaar-organic-npk,https://www.bighaat.com/collections/plant-nutrition,2026-03-27 09:54:36
c1b03c0a2ec5928c04404f093ec0ed8a,"Akash F1 Hybrid Bitter Gourd Seeds - Dark Green, High Yield, Flexible Spines",seed,seeds_online,610.0,4.4667,VNR Aakash Bitter Gourd Seeds Buy Online At Best Price In India. We Have Top Brands Of Agricultural Products At Bighaat. COD And Door Delivery Available.,"Akash F1 Hybrid Bitter Gourd Seeds - Dark Green, High Yield, Flexible Spines is listed under the seed category for this dataset. This record belongs to the seeds_online subcategory based on the source link. The listed selling price is Rs 610,00. The current rating value is 4,47 out of 5. The row has been cleaned to remove HTML tags and encoded symbol noise from text fields. Short description from source is: VNR Aakash Bitter Gourd Seeds Buy Online At Best Price In India, We Have Top Brands Of Agricultural Products At Bighaat, COD And Door Delivery Available. Product naming is standardized to keep search and deduplication stable in downstream systems. The image link column stores the primary product image URL for frontend rendering. The product link is present in product_url column for direct lookup. The source collection link is present in source_collection_url column for audit and synchronization tasks.",https://cdn.shopify.com/s/files/1/0722/2059/files/aakash-bitter-gourd-file-3074.png?v=1737427182,https://www.bighaat.com/products/aakash-bitter-gourd,https://www.bighaat.com/collections/seeds-online,2026-03-27 09:54:36
1992c0f0c436f370acc478b18f284fab,Amruth Abacil Liquid Bio Fungicide - Bacillus subtilis for Soil Health,crop_production,organic_farming,207.0,4.8889,Amruth Abacil Liquid ( Bacillus subtilis ) Bio Fungicide. Buy Online. We Have Top Brands Of Agricultural Products Available. Cod And Door Delivery Available.,"Amruth Abacil Liquid Bio Fungicide - Bacillus subtilis for Soil Health is listed under the crop_production category for this dataset. This record belongs to the organic_farming subcategory based on the source link. The listed selling price is Rs 207,00. The current rating value is 4,89 out of 5. The row has been cleaned to remove HTML tags and encoded symbol noise from text fields. Short description from source is: Amruth Abacil Liquid ( Bacillus subtilis ) Bio Fungicide, Buy Online, We Have Top Brands Of Agricultural Products Available, Cod And Door Delivery Available. Product naming is standardized to keep search and deduplication stable in downstream systems. The image link column stores the primary product image URL for frontend rendering. The product link is present in product_url column for direct lookup. The source collection link is present in source_collection_url column for audit and synchronization tasks.",https://cdn.shopify.com/s/files/1/0722/2059/files/abacil-liquid-bacillus-subtilis-file-6027.jpg?v=1737432382,https://www.bighaat.com/products/abacil-liquid-bacillus-subtilis,https://www.bighaat.com/collections/organic-farming,2026-03-27 09:54:36
efb8802d12d8237f2a73f43d5e8ff0ff,"Abhilash Tomato Seeds - High Yield, Flat Round, Seminis",seed,seeds_online,697.0,4.4357,Explore premium Abhilash Tomato Seeds at great prices. Get high-quality seeds for a bountiful harvest. Find the best price of tomato seeds here!,"Abhilash Tomato Seeds - High Yield, Flat Round, Seminis is listed under the seed category for this dataset. This record belongs to the seeds_online subcategory based on the source link. The listed selling price is Rs 697,00. The current rating value is 4,44 out of 5. The row has been cleaned to remove HTML tags and encoded symbol noise from text fields. Short description from source is: Explore premium Abhilash Tomato Seeds at great prices, Get high-quality seeds for a bountiful harvest, Find the best price of tomato seeds here. Product naming is standardized to keep search and deduplication stable in downstream systems. The image link column stores the primary product image URL for frontend rendering. The product link is present in product_url column for direct lookup. The source collection link is present in source_collection_url column for audit and synchronization tasks.",https://cdn.shopify.com/s/files/1/0722/2059/files/abhilash-tomato-seeds-file-20022.jpg?v=1747131830,https://www.bighaat.com/products/abhilash-tomato-seeds,https://www.bighaat.com/collections/seeds-online,2026-03-27 09:54:36
fb0680f01d31b1c922040774f28e7616,"Abhishek Bitter Gourd Seeds - Strong fast growth, Dark Green, Spindle Shape",seed,seeds_online,785.0,4.5,"Buy Abhishek Bitter Gourd Seeds by Seminis for high yield, dark green spindle-shaped fruits, and vigorous growth. Perfect for rainy, rabi and summer seasons with early harvest in 50-60 days.","Abhishek Bitter Gourd Seeds - Strong fast growth, Dark Green, Spindle Shape is listed under the seed category for this dataset. This record belongs to the seeds_online subcategory based on the source link. The listed selling price is Rs 785,00. The current rating value is 4,50 out of 5. The row has been cleaned to remove HTML tags and encoded symbol noise from text fields. Short description from source is: Buy Abhishek Bitter Gourd Seeds by Seminis for high yield, dark green spindle-shaped fruits, and vigorous growth, Perfect for rainy, rabi and summer seasons with early harvest in 50-60 days. Product naming is standardized to keep search and deduplication stable in downstream systems. The image link column stores the primary product image URL for frontend rendering. The product link is present in product_url column for direct lookup. The source collection link is present in source_collection_url column for audit and synchronization tasks.",https://cdn.shopify.com/s/files/1/0722/2059/files/abhishek_bittergourd-1-file-346.jpg?v=1737429433,https://www.bighaat.com/products/abhishek_bittergourd-1,https://www.bighaat.com/collections/seeds-online,2026-03-27 09:54:36
d164de199411e01f294a4b51bbb8c3f6,"Pioneer Agro Acacia Concinna (Shikakai Seeds): 100% Purity, 35% Germination",seed,seeds_online,980.0,5.0,Common Name : Terminalia Arjuna Flowering Season :APR-MAY Fruiting Season NOV-JAN No. of Seeds per kg : 500 Germination Capacity :35% Time Taken for Initial Germination : 20 days Time Taken for Germination Capacity : 55 days Germinative Energy : 15% Plant Percentage : 25% Purity Percentage : 100% Moisture Percentage : 10% No. of Seedling Per Kg : 125 Pretreatments recommended : Soak seeds in cow dung slurry for 24 hrs. before sowing.,"Pioneer Agro Acacia Concinna (Shikakai Seeds): 100% Purity, 35% Germination is listed under the seed category for this dataset. This record belongs to the seeds_online subcategory based on the source link. The listed selling price is Rs 980,00. The current rating value is 5,00 out of 5. The row has been cleaned to remove HTML tags and encoded symbol noise from text fields. Short description from source is: Common Name , Terminalia Arjuna Flowering Season , APR-MAY Fruiting Season NOV-JAN No, of Seeds per kg , 500 Germination Capacity , 35% Time Taken for Initial Germination , 20 days Time Taken for Germination Capacity , 55 days Germinative Energy , 15% Plant Percentage , 25% Purity Percentage , 100% Moisture Percentage , 10% No, of Seedling Per Kg , 125 Pretreatments recommended , Soak seeds in cow dung slurry for 24 hrs, before sowing. Product naming is standardized to keep search and deduplication stable in downstream systems. The image link column stores the primary product image URL for frontend rendering. The product link is present in product_url column for direct lookup. The source collection link is present in source_collection_url column for audit and synchronization tasks.",https://cdn.shopify.com/s/files/1/0722/2059/files/acasia-concinna-shikakai-file-6442.png?v=1737434417,https://www.bighaat.com/products/acasia-concinna-shikakai,https://www.bighaat.com/collections/seeds-online,2026-03-27 09:54:36
0d1a076d77333c0c69024e8642cb7321,ACTION Humic Granuals 75%,crop_production,organic_farming,599.0,4.3333,Buy Action Humic Granuals 75% Online At Best Price In India. We Have Top Brands Of Crop Protection Available At Our Store. COD And Door Delivery Available.,"ACTION Humic Granuals 75% is listed under the crop_production category for this dataset. This record belongs to the organic_farming subcategory based on the source link. The listed selling price is Rs 599,00. The current rating value is 4,33 out of 5. The row has been cleaned to remove HTML tags and encoded symbol noise from text fields. Short description from source is: Buy Action Humic Granuals 75% Online At Best Price In India, We Have Top Brands Of Crop Protection Available At Our Store, COD And Door Delivery Available. Product naming is standardized to keep search and deduplication stable in downstream systems. The image link column stores the primary product image URL for frontend rendering. The product link is present in product_url column for direct lookup. The source collection link is present in source_collection_url column for audit and synchronization tasks.",https://cdn.shopify.com/s/files/1/0722/2059/files/action-humic-granuals-75-file-16259.jpg?v=1737453887,https://www.bighaat.com/products/action-humic-granuals-75,https://www.bighaat.com/collections/organic-farming,2026-03-27 09:54:36
